Carat,Colour,Clarity,Cut,Certification,Polish,Symmetry,Price,Wholesaler
0.92,3,5,3,AGS,4,4,3000,1
0.92,3,5,4,AGS,3,3,3000,1
0.82,4,5,6,GIA,5,5,3004,1
0.81,3,6,6,GIA,5,4,3004,1
0.9,2,7,4,GIA,4,4,3006,1
0.87,4,5,6,AGS,3,4,3007,1
0.8,4,5,6,GIA,4,4,3008,1
0.84,4,6,3,GIA,4,4,3010,1
0.8,4,5,4,GIA,4,4,3012,1
0.8,4,5,4,GIA,4,5,3012,1
0.85,3,5,6,GIA,4,4,3014,1
0.83,3,5,6,GIA,5,5,3014,1
0.82,3,8,3,AGS,3,4,3015,1
0.82,3,6,6,GIA,5,5,3015,1
0.8,4,6,4,GIA,4,4,3022,1
0.91,2,6,4,GIA,4,4,3023,1
0.81,4,6,4,AGS,4,4,3027,1
0.9,3,6,4,GIA,5,4,3028,1
0.81,4,5,6,GIA,4,5,3029,1
0.81,4,5,6,GIA,5,5,3029,1
0.81,4,5,6,GIA,3,3,3031,1
0.8,3,8,6,AGS,6,6,3031,1
0.8,3,8,6,AGS,6,6,3031,1
0.8,3,6,6,GIA,5,4,3035,1
0.81,3,6,4,GIA,3,4,3036,1
0.91,3,5,3,GIA,4,3,3038,1
0.83,4,5,3,GIA,3,3,3041,1
0.83,3,7,4,GIA,3,3,3041,1
0.88,3,6,6,AGS,6,6,3042,1
0.9,3,5,2,GIA,4,4,3043,1
0.9,3,5,4,GIA,4,3,3043,1
0.9,3,5,2,GIA,3,4,3043,1
0.91,3,5,6,GIA,4,4,3044,1
0.81,4,5,4,GIA,3,3,3044,1
0.81,4,6,4,GIA,5,5,3049,1
0.85,4,5,6,GIA,4,5,3051,1
0.85,4,5,4,AGS,3,3,3051,1
0.81,4,5,4,GIA,4,3,3051,1
0.81,3,8,6,AGS,6,6,3053,1
0.8,4,6,4,GIA,3,3,3053,1
0.9,3,5,2,GIA,4,3,3056,1
0.81,3,8,3,GIA,3,3,3057,1
0.8,3,8,4,GIA,4,4,3059,1
0.8,4,5,4,GIA,4,4,3062,1
0.9,2,7,3,AGS,5,5,3064,1
0.8,4,5,4,GIA,4,3,3064,1
0.8,3,8,6,GIA,5,4,3067,1
0.9,3,5,3,GIA,4,4,3069,1
0.9,3,5,4,GIA,4,4,3069,1
0.8,4,5,4,GIA,5,4,3071,1
0.82,3,6,4,GIA,3,3,3072,1
0.81,3,5,6,GIA,4,4,3079,1
0.81,4,6,4,GIA,5,5,3079,1
0.8,3,7,6,AGS,6,6,3080,1
0.9,4,5,2,GIA,4,3,3081,1
0.9,3,6,3,GIA,4,3,3081,1
0.82,3,7,6,GIA,5,5,3085,1
0.8,3,6,4,GIA,4,4,3086,1
0.91,3,5,2,GIA,4,4,3089,1
0.92,2,6,4,GIA,4,4,3091,1
1,1,4,2,EGL,2,2,1856,2
1.06,1,4,2,EGL,3,3,1892,2
1,2,2,2,GIA,4,4,1918,2
1.01,3,2,2,GIA,3,4,1929,2
1.04,2,3,3,EGL,3,3,1966,2
1.05,2,3,3,EGL,4,3,1985,2
1.23,3,2,3,GIA,3,2,1988,2
1.18,3,2,2,DOW,3,2,2031,2
1.02,3,2,5,GIA,3,3,2035,2
1,3,2,2,GIA,3,4,2045,2
1,1,3,5,GIA,5,3,2049,2
1.05,3,2,5,GIA,4,4,2065,2
1,3,3,2,EGL,3,2,2070,2
1.02,2,3,2,EGL,3,3,2100,2
1,3,4,2,EGL,2,2,2101,2
1,4,3,6,EGL,3,3,2128,2
1.01,4,3,5,EGL,3,3,2149,2
1.01,1,4,6,EGL,3,3,2156,2
1.04,4,2,5,GIA,3,3,2162,2
1,3,3,2,EGL,3,2,2168,2
1,3,3,2,EGL,3,3,2170,2
1.01,3,3,2,EGL,3,3,2192,2
1.01,3,3,2,EGL,3,2,2192,2
1.1,3,2,6,GIA,4,2,2195,2
1.02,3,3,2,EGL,3,2,2213,2
1,2,3,5,GIA,4,3,2226,2
1,2,3,2,EGL,3,3,2228,2
1,4,3,3,EGL,3,3,2243,2
1.01,4,2,3,EGL,4,3,2252,2
1.21,1,2,5,GIA,3,3,2263,2
1,2,4,5,EGL,3,4,2288,2
1.16,3,3,2,EGL,3,3,2292,2
1.17,3,2,5,GIA,4,4,2301,2
1,4,3,2,EGL,4,3,2306,2
1.04,2,3,5,EGL,4,4,2308,2
1,2,4,2,EGL,3,3,2310,2
1,4,2,5,GIA,3,3,2316,2
1.01,3,3,5,EGL,4,5,2321,2
1.09,3,2,5,GIA,3,3,2330,2
1.02,2,4,4,EGL,3,3,2333,2
1.05,4,2,3,GIA,2,2,2338,2
1.1,3,2,5,GIA,4,4,2351,2
1,4,3,3,EGL,3,3,2359,2
1.06,4,2,3,GIA,3,4,2360,2
1.01,3,3,3,EGL,4,4,2363,2
1.01,3,3,6,EGL,4,4,2363,2
1,3,3,2,EGL,3,3,2364,2
1.03,3,3,6,EGL,4,4,2367,2
1.15,2,3,2,EGL,3,3,2368,2
1,2,5,5,EGL,3,3,2380,2
1,2,5,2,EGL,3,2,2380,2
1.01,4,3,5,EGL,3,4,2382,2
1.07,1,4,5,EGL,3,3,2386,2
1.04,3,3,6,EGL,4,5,2390,2
1.25,2,2,2,GIA,3,3,2397,2
1.05,3,3,2,GIA,3,3,2413,2
1.09,2,3,5,GIA,3,3,2427,2
1.14,1,2,5,GIA,4,4,2437,2
1.11,3,2,5,GIA,3,3,2438,2
1.21,2,4,2,EGL,3,3,2446,2
1,4,4,2,EGL,3,3,3080,2
1.03,3,3,5,GIA,4,3,3082,2
1.03,3,3,2,GIA,3,4,3082,2
1.21,2,3,5,GIA,3,3,3083,2
1.04,3,3,6,GIA,4,3,3084,2
1.19,3,3,2,EGL,4,3,3085,2
1.01,3,5,3,EGL,4,4,3086,2
1.04,2,6,5,EGL,4,5,3089,2
1.02,3,3,5,GIA,3,2,3089,2
1.2,3,3,2,EGL,4,3,3093,2
1.2,3,3,2,EGL,3,3,3093,2
1.02,2,7,6,EGL,5,5,3093,2
1.04,4,4,6,EGL,4,5,3093,2
1.01,4,3,3,GIA,5,4,3098,2
1,3,3,5,GIA,5,4,3101,2
1.01,3,5,3,EGL,4,3,3102,2
1,4,4,5,EGL,3,3,3105,2
1.01,4,3,2,GIA,4,3,3107,2
1.43,3,2,5,GIA,3,3,3108,2
1,2,5,5,EGL,3,3,3108,2
1,2,5,6,EGL,4,5,3108,2
1,2,5,5,EGL,4,3,3108,2
1.11,2,5,5,GIA,4,4,3108,2
1.01,3,3,5,GIA,3,3,3108,2
1.01,4,4,6,EGL,4,3,3111,2
1.01,2,6,5,EGL,4,5,3111,2
1.14,4,3,3,EGL,3,3,3112,2
1.12,3,3,5,GIA,4,4,3112,2
1,2,6,5,EGL,4,3,3114,2
1.01,3,4,5,EGL,3,3,3118,2
1.02,4,4,6,EGL,5,5,3119,2
1.11,3,5,5,EGL,4,3,3122,2
1.1,3,3,5,GIA,4,4,3124,2
1.13,2,8,5,EGL,3,4,3124,2
1,2,5,2,GIA,3,2,3125,2
1.26,2,3,5,GIA,4,3,3125,2
1,4,3,3,EGL,3,3,3126,2
1,4,3,5,EGL,3,4,3126,2
1,3,5,3,EGL,4,3,3127,2
1,3,5,3,EGL,4,4,3127,2
1.02,3,4,5,EGL,3,3,3130,2
1.01,2,5,5,GIA,5,4,3135,2
1,3,5,6,EGL,3,4,3135,2
1,3,5,3,EGL,3,3,3135,2
1,3,3,6,GIA,3,3,3136,2
1.02,4,3,2,EGL,3,4,3137,2
1.23,2,5,5,GIA,5,3,3137,2
1.01,3,5,2,EGL,3,4,3138,2
1.07,4,4,5,EGL,3,4,3138,2
1.01,2,5,5,EGL,4,4,3139,2
1.01,2,5,6,EGL,4,5,3139,2
1.01,2,5,5,EGL,4,4,3139,2
1.01,2,5,5,EGL,4,4,3139,2
1.01,2,5,6,EGL,4,5,3139,2
1.01,2,5,6,EGL,4,4,3139,2
1.01,2,5,5,EGL,3,4,3139,2
1.15,4,3,5,EGL,4,4,3140,2
1.03,3,3,5,GIA,3,3,3141,2
1.04,2,6,5,EGL,4,4,3142,2
1.01,2,6,3,EGL,3,4,3145,2
1.03,3,3,5,EGL,3,3,2451,2
1,2,5,3,EGL,3,4,2452,2
1.15,2,4,3,EGL,3,3,2467,2
1.01,2,5,6,EGL,4,5,2476,2
1,4,3,2,EGL,4,3,2486,2
1.12,2,3,2,GIA,3,2,2493,2
1.01,4,2,5,GIA,3,3,2495,2
1.03,2,4,6,EGL,3,3,2511,2
1.01,4,3,5,EGL,3,4,2511,2
1.01,4,3,3,EGL,3,3,2511,2
1.01,4,3,5,EGL,3,3,2511,2
1.22,2,3,2,EGL,4,3,2516,2
1.2,3,2,5,GIA,3,3,2565,2
1.1,3,3,5,EGL,4,4,2574,2
1.16,2,3,4,EGL,3,3,2584,2
1.02,4,3,5,EGL,4,4,2586,2
1.23,1,3,5,GIA,3,3,2586,2
1,2,5,2,EGL,4,3,2591,2
1.01,4,4,5,EGL,4,4,2600,2
1.19,3,2,5,GIA,3,3,2600,2
1.02,3,3,2,EGL,3,2,2601,2
1.33,1,4,5,EGL,3,4,2607,2
1.1,4,2,5,GIA,4,4,2617,2
1.58,2,2,2,GIA,2,2,2620,2
1.04,2,3,5,GIA,3,3,2625,2
1.01,2,4,5,EGL,4,4,2625,2
1,3,3,3,GIA,3,3,2625,2
1.02,3,3,6,EGL,4,5,2625,2
1.02,2,5,5,EGL,4,4,2629,2
1.01,3,4,2,EGL,3,2,2640,2
1.01,3,3,5,GIA,4,3,2651,2
1.01,2,4,2,EGL,3,3,2654,2
1,1,7,2,GIA,3,3,2655,2
1,3,4,2,EGL,3,3,2660,2
1.01,2,6,2,EGL,4,3,2668,2
1,3,4,2,EGL,2,2,2678,2
1,2,5,6,GIA,4,4,2682,2
1.14,4,3,6,EGL,4,4,2689,2
1,2,6,3,EGL,3,4,2689,2
1.01,4,3,5,EGL,4,5,2692,2
1.03,4,3,5,EGL,3,4,2692,2
1.03,4,3,2,EGL,3,3,2692,2
1.05,2,3,5,GIA,4,3,2693,2
1.41,2,2,5,GIA,3,3,2704,2
1.16,4,2,2,GIA,3,3,2714,2
1.01,2,6,6,EGL,4,5,2716,2
1,4,3,3,EGL,3,3,2730,2
1,2,5,5,GIA,4,4,2745,2
1,2,5,2,EGL,3,2,2745,2
1.06,4,3,2,EGL,3,3,2745,2
1.01,4,3,5,EGL,3,4,2757,2
1.12,1,5,3,EGL,3,3,2765,2
1.07,1,5,5,GIA,4,4,2770,2
1.04,4,3,6,EGL,5,5,2772,2
1,2,5,5,EGL,4,4,2772,2
1.1,3,3,5,EGL,3,4,2772,2
1.16,4,3,5,GIA,3,2,2775,2
1,3,3,5,GIA,4,4,2779,2
1,2,6,2,EGL,4,3,2780,2
1,2,6,2,EGL,3,2,2780,2
0.09,4,6,5,IGI,3,3,190,3
0.09,4,6,6,IGI,3,3,160,3
0.09,4,6,6,IGI,4,3,160,3
0.09,4,6,6,IGI,3,3,180,3
0.09,4,8,6,IGI,4,3,190,3
0.1,4,7,4,IGI,4,3,330,3
0.1,4,8,4,IGI,3,3,180,3
0.1,4,7,5,IGI,3,3,180,3
0.1,4,7,5,IGI,4,3,180,3
0.1,4,6,5,IGI,3,3,190,3
0.1,4,6,5,IGI,3,3,160,3
0.1,4,6,4,IGI,3,3,160,3
0.1,4,5,3,IGI,4,3,190,3
0.1,4,8,4,IGI,3,3,180,3
0.1,4,8,5,IGI,3,3,180,3
0.1,4,6,4,IGI,3,3,180,3
0.1,4,8,5,IGI,3,3,180,3
0.1,4,7,4,IGI,3,3,180,3
0.11,4,6,3,IGI,3,3,160,3
0.11,4,7,3,IGI,3,3,190,3
0.11,4,6,5,IGI,3,3,160,3
0.11,4,7,4,IGI,4,4,180,3
0.11,4,6,6,IGI,4,3,180,3
0.2,4,6,5,IGI,3,3,320,3
0.21,3,6,4,IGI,3,3,330,3
0.21,4,6,6,IGI,3,3,330,3
0.21,4,7,4,IGI,4,3,340,3
0.21,4,9,5,IGI,4,3,320,3
0.21,4,6,5,IGI,4,4,330,3
0.21,4,7,5,IGI,3,3,340,3
0.21,4,7,6,IGI,4,3,340,3
0.22,4,6,6,IGI,3,3,360,3
0.22,4,6,4,IGI,3,3,330,3
0.22,4,6,5,IGI,3,3,340,3
0.22,4,6,4,IGI,3,3,330,3
0.22,4,6,6,IGI,4,4,340,3
0.23,4,6,4,IGI,4,4,404,3
0.23,4,9,5,IGI,4,4,665,3
0.23,4,6,5,IGI,3,3,360,3
0.23,4,6,6,IGI,3,3,360,3
0.23,4,7,5,IGI,4,3,360,3
0.23,4,6,4,IGI,3,3,340,3
0.23,4,6,5,IGI,3,3,360,3
0.27,4,7,6,GIA,4,4,594,3
0.28,4,9,5,GIA,4,5,658,3
0.28,4,9,5,GIA,4,5,658,3
0.3,3,3,6,GIA,3,4,372,3
0.3,2,5,4,GIA,4,4,439,3
0.3,3,5,5,GIA,4,4,466,3
0.3,3,5,4,GIA,3,4,466,3
0.3,4,3,5,GIA,4,4,466,3
0.3,2,6,4,GIA,3,5,466,3
0.3,2,6,3,GIA,5,5,466,3
0.3,2,6,4,GIA,5,4,466,3
0.3,2,8,4,GIA,5,4,466,3
0.3,2,7,2,GIA,4,4,468,3
0.3,3,5,4,GIA,3,4,476,3
0.3,3,5,6,GIA,5,5,476,3
0.3,2,6,5,GIA,4,3,476,3
0.3,2,6,4,GIA,5,4,476,3
0.3,2,6,5,GIA,5,3,476,3
0.3,2,6,5,GIA,4,4,476,3
0.3,2,6,3,GIA,4,4,476,3
0.3,4,3,5,GIA,4,4,490,3
0.3,3,5,3,GIA,4,4,493,3
0.3,3,5,5,GIA,4,4,493,3
0.3,3,5,5,GIA,4,4,493,3
0.3,3,5,6,GIA,4,4,493,3
0.3,3,5,5,GIA,4,4,493,3
0.3,3,5,5,GIA,4,4,493,3
0.3,3,6,6,GIA,4,4,493,3
0.3,3,5,3,GIA,3,3,493,3
0.3,2,7,5,GIA,4,4,493,3
0.3,2,7,4,GIA,4,4,493,3
0.3,2,7,4,GIA,3,4,493,3
0.3,2,7,6,GIA,4,4,493,3
0.3,2,7,4,GIA,4,4,493,3
0.3,2,7,5,GIA,4,4,493,3
0.3,3,5,3,GIA,5,5,504,3
0.3,3,5,4,GIA,5,4,504,3
0.3,3,5,5,GIA,5,5,504,3
0.3,3,6,2,GIA,4,5,519,3
0.3,3,6,4,GIA,4,4,519,3
0.3,4,5,5,GIA,3,3,519,3
0.3,4,5,4,GIA,4,4,520,3
0.3,4,5,4,GIA,4,4,520,3
0.3,4,5,4,GIA,3,4,520,3
0.3,4,5,5,GIA,4,3,520,3
0.3,4,5,6,GIA,4,4,520,3
0.3,4,5,6,GIA,4,4,520,3
0.3,4,5,6,GIA,3,4,520,3
0.3,4,5,6,GIA,4,4,520,3
0.3,4,5,4,GIA,4,4,520,3
0.3,4,5,4,GIA,4,4,520,3
0.3,3,5,5,GIA,5,4,520,3
0.3,3,5,6,GIA,4,4,520,3
0.3,3,5,6,GIA,4,4,520,3
0.3,3,6,4,GIA,5,4,520,3
0.3,3,6,4,GIA,4,4,520,3
0.3,3,6,4,GIA,4,5,520,3
0.3,3,6,4,GIA,5,5,520,3
0.3,4,5,6,GIA,3,3,520,3
0.3,4,5,4,GIA,4,5,520,3
0.3,3,5,3,GIA,4,4,520,3
0.3,3,5,4,GIA,5,4,520,3
0.3,3,5,5,GIA,4,4,520,3
0.3,3,5,5,GIA,4,4,520,3
0.3,3,5,4,GIA,3,4,520,3
0.3,3,6,3,GIA,4,4,520,3
0.3,3,6,4,GIA,4,4,520,3
0.3,3,6,4,GIA,3,4,520,3
0.3,3,6,4,GIA,4,4,520,3
0.3,3,6,4,GIA,4,4,520,3
0.3,3,6,6,GIA,4,4,520,3
0.3,3,6,2,GIA,3,4,520,3
0.3,3,6,5,GIA,4,3,520,3
0.3,3,6,6,GIA,3,3,520,3
0.3,3,6,6,GIA,4,4,520,3
0.3,3,6,6,GIA,4,4,520,3
0.3,3,6,4,GIA,4,4,520,3
0.3,3,6,5,GIA,5,4,520,3
0.3,2,8,4,GIA,5,4,520,3
0.3,2,8,5,GIA,4,4,520,3
0.3,2,8,4,GIA,4,4,520,3
0.3,2,8,4,GIA,4,5,520,3
0.3,2,8,5,GIA,4,5,520,3
0.3,2,8,4,GIA,4,4,520,3
0.3,2,8,5,GIA,4,4,520,3
0.3,2,8,4,GIA,4,4,520,3
0.3,2,8,5,GIA,3,4,520,3
0.3,2,8,5,GIA,4,4,520,3
0.3,2,8,3,GIA,5,4,520,3
0.3,2,8,5,GIA,4,4,520,3
0.3,2,8,5,GIA,5,5,520,3
0.3,2,8,6,GIA,4,3,520,3
0.3,2,8,4,GIA,4,4,520,3
0.3,2,8,6,GIA,4,4,520,3
0.3,2,9,5,GIA,4,4,520,3
0.3,3,5,6,GIA,5,4,531,3
0.3,3,6,5,GIA,4,4,531,3
0.3,3,6,4,GIA,3,4,531,3
0.3,3,6,6,GIA,4,4,531,3
0.3,3,6,5,GIA,5,4,531,3
0.3,4,5,3,GIA,4,4,544,3
0.3,3,6,4,GIA,4,4,544,3
0.3,4,5,6,GIA,5,5,547,3
0.3,4,5,5,GIA,5,4,547,3
0.3,3,6,3,GIA,5,5,547,3
0.3,3,6,4,GIA,4,3,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,3,3,547,3
0.3,3,6,6,GIA,5,5,547,3
0.3,3,6,4,GIA,4,3,547,3
0.3,3,7,5,GIA,5,4,547,3
0.3,4,5,4,GIA,3,3,547,3
0.3,4,5,4,GIA,5,5,547,3
0.3,4,5,4,GIA,3,4,547,3
0.3,4,5,4,GIA,4,4,547,3
0.3,3,6,3,GIA,4,3,547,3
0.3,3,6,4,GIA,3,5,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,4,5,547,3
0.3,3,6,5,GIA,3,3,547,3
0.3,3,6,5,GIA,3,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,4,GIA,4,4,547,3
0.3,3,6,4,GIA,4,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,5,GIA,5,4,547,3
0.3,3,6,4,GIA,4,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,6,6,GIA,3,4,547,3
0.3,3,6,4,GIA,5,4,547,3
0.3,3,6,5,GIA,4,4,547,3
0.3,3,7,4,GIA,4,5,547,3
0.3,3,7,5,GIA,4,4,547,3
0.3,3,7,5,GIA,5,5,547,3
0.3,3,7,6,GIA,4,4,547,3
0.3,3,7,4,GIA,5,4,547,3
0.3,3,7,4,GIA,4,4,547,3
0.3,3,7,6,GIA,4,4,547,3
0.3,3,7,5,GIA,4,4,547,3
0.3,3,7,6,GIA,5,4,547,3
0.3,3,7,5,GIA,4,5,547,3
0.3,3,7,5,GIA,5,4,547,3
0.3,3,7,6,GIA,3,4,547,3
0.3,3,7,6,GIA,3,4,547,3
0.3,3,7,6,GIA,5,4,547,3
0.3,3,7,6,GIA,5,4,547,3
0.3,2,10,5,GIA,5,4,547,3
0.3,2,10,4,GIA,5,4,547,3
0.3,3,6,3,GIA,4,4,559,3
0.3,3,6,5,GIA,4,4,559,3
0.3,3,6,4,GIA,5,5,559,3
0.3,3,6,5,GIA,4,5,559,3